[?1h=
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
[H[2JEvaluating 1/2000... Pixel-wise accuracy: 86.36%
Evaluating 2/2000... Pixel-wise accuracy: 73.96%
Evaluating 3/2000... Pixel-wise accuracy: 78.89%
Evaluating 4/2000... Pixel-wise accuracy: 93.49%
Evaluating 5/2000... Pixel-wise accuracy: 61.23%
Evaluating 6/2000... Pixel-wise accuracy: 74.96%
Evaluating 7/2000... Pixel-wise accuracy: 93.97%
Evaluating 8/2000... Pixel-wise accuracy: 87.76%
Evaluating 9/2000... Pixel-wise accuracy: 65.46%
Evaluating 10/2000... Pixel-wise accuracy: 60.70%
Evaluating 11/2000... Pixel-wise accuracy: 98.01%
Evaluating 12/2000... Pixel-wise accuracy: 89.97%
Evaluating 13/2000... Pixel-wise accuracy: 57.49%
Evaluating 14/2000... Pixel-wise accuracy: 89.73%
Evaluating 15/2000... Pixel-wise accuracy: 79.17%
Evaluating 16/2000... Pixel-wise accuracy: 71.82%
Evaluating 17/2000... Pixel-wise accuracy: 76.99%
Evaluating 18/2000... Pixel-wise accuracy: 74.24%
Evaluating 19/2000... Pixel-wise accuracy: 59.46%
Evaluating 20/2000... Pixel-wise accuracy: 71.25%
Evaluating 21/2000... Pixel-wise accuracy: 48.27%
Evaluating 22/2000... Pixel-wise accuracy: 71.47%
Evaluating 23/2000... Pixel-wise accuracy: 73.28%
Evaluating 24/2000... Pixel-wise accuracy: 73.10%
Evaluating 25/2000... Pixel-wise accuracy: 79.33%
Evaluating 26/2000... Pixel-wise accuracy: 68.44%
Evaluating 27/2000... Pixel-wise accuracy: 83.35%
Evaluating 28/2000... Pixel-wise accuracy: 78.71%
Evaluating 29/2000... Pixel-wise accuracy: 71.68%
Evaluating 30/2000... Pixel-wise accuracy: 64.90%
Evaluating 31/2000... Pixel-wise accuracy: 85.50%
Evaluating 32/2000... Pixel-wise accuracy: 83.35%
Evaluating 33/2000... Pixel-wise accuracy: 83.86%
Evaluating 34/2000... Pixel-wise accuracy: 94.02%
Evaluating 35/2000... Pixel-wise accuracy: 34.34%
Evaluating 36/2000... Pixel-wise accuracy: 34.26%
Evaluating 37/2000... Pixel-wise accuracy: 65.43%
Evaluating 38/2000... Pixel-wise accuracy: 82.51%
Evaluating 39/2000... Pixel-wise accuracy: 36.76%
Evaluating 40/2000... Pixel-wise accuracy: 41.05%
Evaluating 41/2000... Pixel-wise accuracy: 76.34%
Evaluating 42/2000... Pixel-wise accuracy: 37.38%
Evaluating 43/2000... Pixel-wise accuracy: 93.50%
Evaluating 44/2000... Pixel-wise accuracy: 89.96%
Evaluating 45/2000... Pixel-wise accuracy: 96.34%
Evaluating 46/2000... Pixel-wise accuracy: 85.00%
Evaluating 47/2000... Pixel-wise accuracy: 98.86%
Evaluating 48/2000... Pixel-wise accuracy: 92.49%
Evaluating 49/2000... Pixel-wise accuracy: 78.54%
Evaluating 50/2000... Pixel-wise accuracy: 98.86%
Evaluating 51/2000... Pixel-wise accuracy: 48.44%
Evaluating 52/2000... Pixel-wise accuracy: 95.96%
Evaluating 53/2000... Pixel-wise accuracy: 40.49%
Evaluating 54/2000... Pixel-wise accuracy: 53.29%
Evaluating 55/2000... Pixel-wise accuracy: 50.84%
Evaluating 56/2000... Pixel-wise accuracy: 61.08%
Evaluating 57/2000... Pixel-wise accuracy: 87.77%
Evaluating 58/2000... Pixel-wise accuracy: 49.00%
Evaluating 59/2000... Pixel-wise accuracy: 9.16%
Evaluating 60/2000... Pixel-wise accuracy: 63.86%
Evaluating 61/2000... Pixel-wise accuracy: 64.26%
Evaluating 62/2000... Pixel-wise accuracy: 45.07%
Evaluating 63/2000... Pixel-wise accuracy: 94.96%
Evaluating 64/2000... Pixel-wise accuracy: 72.11%
Evaluating 65/2000... Pixel-wise accuracy: 33.74%
Evaluating 66/2000... Pixel-wise accuracy: 54.88%
Evaluating 67/2000... Pixel-wise accuracy: 93.12%
Evaluating 68/2000... Pixel-wise accuracy: 96.39%
Evaluating 69/2000... Pixel-wise accuracy: 91.57%
Evaluating 70/2000... Pixel-wise accuracy: 86.78%
Evaluating 71/2000... Pixel-wise accuracy: 91.10%
Evaluating 72/2000... Pixel-wise accuracy: 91.59%
Evaluating 73/2000... Pixel-wise accuracy: 95.73%
Evaluating 74/2000... Pixel-wise accuracy: 50.08%
Evaluating 75/2000... Pixel-wise accuracy: 88.01%
Evaluating 76/2000... Pixel-wise accuracy: 60.73%
Evaluating 77/2000... Pixel-wise accuracy: 87.10%
Evaluating 78/2000... Pixel-wise accuracy: 71.81%
Evaluating 79/2000... Pixel-wise accuracy: 59.10%
Evaluating 80/2000... Pixel-wise accuracy: 64.71%
Evaluating 81/2000... Pixel-wise accuracy: 60.91%
Evaluating 82/2000... Pixel-wise accuracy: 59.24%
Evaluating 83/2000... Pixel-wise accuracy: 62.01%
Evaluating 84/2000... Pixel-wise accuracy: 78.49%
Evaluating 85/2000... Pixel-wise accuracy: 80.82%
Evaluating 86/2000... Pixel-wise accuracy: 88.53%
Evaluating 87/2000... Pixel-wise accuracy: 43.77%
Evaluating 88/2000... Pixel-wise accuracy: 83.13%
Evaluating 89/2000... Pixel-wise accuracy: 8.64%
Evaluating 90/2000... Pixel-wise accuracy: 71.64%
Evaluating 91/2000... Pixel-wise accuracy: 5.32%
Evaluating 92/2000... Pixel-wise accuracy: 94.38%
Evaluating 93/2000... Pixel-wise accuracy: 91.85%
Evaluating 94/2000... Pixel-wise accuracy: 87.39%
Evaluating 95/2000... Pixel-wise accuracy: 97.21%
Evaluating 96/2000... Pixel-wise accuracy: 81.57%
Evaluating 97/2000... Pixel-wise accuracy: 85.14%
Evaluating 98/2000... Pixel-wise accuracy: 75.66%
Evaluating 99/2000... Pixel-wise accuracy: 42.83%
Evaluating 100/2000... Pixel-wise accuracy: 52.04%
Evaluating 101/2000... Pixel-wise accuracy: 82.18%
Evaluating 102/2000... Pixel-wise accuracy: 88.79%
Evaluating 103/2000... Pixel-wise accuracy: 70.06%
Evaluating 104/2000... Pixel-wise accuracy: 81.36%
Evaluating 105/2000... Pixel-wise accuracy: 25.29%
Evaluating 106/2000... Pixel-wise accuracy: 88.76%
Evaluating 107/2000... Pixel-wise accuracy: 94.02%
Evaluating 108/2000... Pixel-wise accuracy: 83.86%
Evaluating 109/2000... Pixel-wise accuracy: 83.19%
Evaluating 110/2000... Pixel-wise accuracy: 5.86%
Evaluating 111/2000... Pixel-wise accuracy: 45.77%
Evaluating 112/2000... Pixel-wise accuracy: 82.66%
Evaluating 113/2000... Pixel-wise accuracy: 43.70%
Evaluating 114/2000... Pixel-wise accuracy: 88.76%
Evaluating 115/2000... Pixel-wise accuracy: 92.27%
Evaluating 116/2000... Pixel-wise accuracy: 80.20%
Evaluating 117/2000... Pixel-wise accuracy: 75.76%
Evaluating 118/2000... Pixel-wise accuracy: 64.33%
Evaluating 119/2000... Pixel-wise accuracy: 50.99%
Evaluating 120/2000... Pixel-wise accuracy: 70.45%
Evaluating 121/2000... Pixel-wise accuracy: 66.92%
Evaluating 122/2000... Pixel-wise accuracy: 80.01%
Evaluating 123/2000... Pixel-wise accuracy: 70.37%
Evaluating 124/2000... Pixel-wise accuracy: 52.01%
Evaluating 125/2000... Pixel-wise accuracy: 67.60%
Evaluating 126/2000... Pixel-wise accuracy: 68.60%
Evaluating 127/2000... Pixel-wise accuracy: 67.56%
Evaluating 128/2000... Pixel-wise accuracy: 46.44%
Evaluating 129/2000... Pixel-wise accuracy: 72.88%
Evaluating 130/2000... Pixel-wise accuracy: 86.90%
Evaluating 131/2000... Pixel-wise accuracy: 87.72%
Evaluating 132/2000... Pixel-wise accuracy: 89.63%
Evaluating 133/2000... Pixel-wise accuracy: 41.81%
Evaluating 134/2000... Pixel-wise accuracy: 66.52%
Evaluating 135/2000... Pixel-wise accuracy: 92.19%
Evaluating 136/2000... Pixel-wise accuracy: 59.55%
Evaluating 137/2000... Pixel-wise accuracy: 71.11%
Evaluating 138/2000... Pixel-wise accuracy: 34.48%
Evaluating 139/2000... Pixel-wise accuracy: 94.45%
Evaluating 140/2000... Pixel-wise accuracy: 54.62%
Evaluating 141/2000... Pixel-wise accuracy: 39.19%
Evaluating 142/2000... Pixel-wise accuracy: 73.31%
Evaluating 143/2000... Pixel-wise accuracy: 73.58%
Evaluating 144/2000... Pixel-wise accuracy: 19.43%
Evaluating 145/2000... Pixel-wise accuracy: 71.45%
Evaluating 146/2000... Pixel-wise accuracy: 51.11%
Evaluating 147/2000... Pixel-wise accuracy: 94.27%
Evaluating 148/2000... Pixel-wise accuracy: 24.72%
Evaluating 149/2000... Pixel-wise accuracy: 62.08%
Evaluating 150/2000... Pixel-wise accuracy: 52.95%
Evaluating 151/2000... Pixel-wise accuracy: 81.53%
Evaluating 152/2000... Pixel-wise accuracy: 52.46%
Evaluating 153/2000... Pixel-wise accuracy: 71.59%
Evaluating 154/2000... Pixel-wise accuracy: 51.04%
Evaluating 155/2000... Pixel-wise accuracy: 49.48%
Evaluating 156/2000... Pixel-wise accuracy: 54.07%
Evaluating 157/2000... Pixel-wise accuracy: 84.73%
Evaluating 158/2000... Pixel-wise accuracy: 72.12%
Evaluating 159/2000... Pixel-wise accuracy: 80.10%
Evaluating 160/2000... Pixel-wise accuracy: 66.42%
Evaluating 161/2000... Pixel-wise accuracy: 84.06%
Evaluating 162/2000... Pixel-wise accuracy: 71.21%
Evaluating 163/2000... Pixel-wise accuracy: 90.16%
Evaluating 164/2000... Pixel-wise accuracy: 46.48%
Evaluating 165/2000... Pixel-wise accuracy: 95.64%
Evaluating 166/2000... Pixel-wise accuracy: 89.32%
Evaluating 167/2000... Pixel-wise accuracy: 70.74%
Evaluating 168/2000... Pixel-wise accuracy: 64.32%
Evaluating 169/2000... Pixel-wise accuracy: 71.82%
Evaluating 170/2000... Pixel-wise accuracy: 77.60%
Evaluating 171/2000... Pixel-wise accuracy: 80.68%
Evaluating 172/2000... Pixel-wise accuracy: 79.35%
Evaluating 173/2000... Pixel-wise accuracy: 89.89%
Evaluating 174/2000... Pixel-wise accuracy: 59.89%
Evaluating 175/2000... Pixel-wise accuracy: 74.04%
Evaluating 176/2000... Pixel-wise accuracy: 96.06%
Evaluating 177/2000... Pixel-wise accuracy: 80.47%
Evaluating 178/2000... Pixel-wise accuracy: 91.63%
Evaluating 179/2000... Pixel-wise accuracy: 87.13%
Evaluating 180/2000... Pixel-wise accuracy: 69.12%
Evaluating 181/2000... Pixel-wise accuracy: 50.48%
Evaluating 182/2000... Pixel-wise accuracy: 82.89%
Evaluating 183/2000... Pixel-wise accuracy: 86.96%
Evaluating 184/2000... Pixel-wise accuracy: 84.99%
Evaluating 185/2000... Pixel-wise accuracy: 91.14%
Evaluating 186/2000... Pixel-wise accuracy: 68.62%
Evaluating 187/2000... Pixel-wise accuracy: 85.45%
Evaluating 188/2000... Pixel-wise accuracy: 96.83%
Evaluating 189/2000... Pixel-wise accuracy: 75.17%
Evaluating 190/2000... Pixel-wise accuracy: 83.33%
Evaluating 191/2000... Pixel-wise accuracy: 84.35%
Evaluating 192/2000... Pixel-wise accuracy: 90.23%
Evaluating 193/2000... Pixel-wise accuracy: 81.53%
Evaluating 194/2000... Pixel-wise accuracy: 73.76%
Evaluating 195/2000... Pixel-wise accuracy: 82.35%
Evaluating 196/2000... Pixel-wise accuracy: 67.63%
Evaluating 197/2000... Pixel-wise accuracy: 78.58%
Evaluating 198/2000... Pixel-wise accuracy: 79.74%
Evaluating 199/2000... Pixel-wise accuracy: 58.02%
Evaluating 200/2000... Pixel-wise accuracy: 94.45%
Evaluating 201/2000... Pixel-wise accuracy: 40.95%
Evaluating 202/2000... Pixel-wise accuracy: 92.01%
Evaluating 203/2000... Pixel-wise accuracy: 91.31%
Evaluating 204/2000... Pixel-wise accuracy: 82.36%
Evaluating 205/2000... Pixel-wise accuracy: 81.95%
Evaluating 206/2000... Pixel-wise accuracy: 79.09%
Evaluating 207/2000... Pixel-wise accuracy: 53.00%
Evaluating 208/2000... Pixel-wise accuracy: 58.92%
Evaluating 209/2000... Pixel-wise accuracy: 68.71%
Evaluating 210/2000... Pixel-wise accuracy: 88.37%
Evaluating 211/2000... Pixel-wise accuracy: 84.79%
Evaluating 212/2000... Pixel-wise accuracy: 59.36%
Evaluating 213/2000... Pixel-wise accuracy: 62.03%
Evaluating 214/2000... Pixel-wise accuracy: 81.07%
Evaluating 215/2000... Pixel-wise accuracy: 78.97%
Evaluating 216/2000... Pixel-wise accuracy: 87.37%
Evaluating 217/2000... Pixel-wise accuracy: 76.49%
Evaluating 218/2000... Pixel-wise accuracy: 70.99%
Evaluating 219/2000... Pixel-wise accuracy: 92.05%
Evaluating 220/2000... Pixel-wise accuracy: 64.31%
Evaluating 221/2000... Pixel-wise accuracy: 51.23%
Evaluating 222/2000... Pixel-wise accuracy: 56.95%
Evaluating 223/2000... Pixel-wise accuracy: 95.47%
Evaluating 224/2000... Pixel-wise accuracy: 52.85%
Evaluating 225/2000... Pixel-wise accuracy: 55.46%
Evaluating 226/2000... Pixel-wise accuracy: 53.81%
Evaluating 227/2000... Pixel-wise accuracy: 66.13%
Evaluating 228/2000... Pixel-wise accuracy: 43.48%
Evaluating 229/2000... Pixel-wise accuracy: 73.22%
Evaluating 230/2000... Pixel-wise accuracy: 93.03%
Evaluating 231/2000... Pixel-wise accuracy: 78.05%
Evaluating 232/2000... Pixel-wise accuracy: 95.51%
Evaluating 233/2000... Pixel-wise accuracy: 85.56%
Evaluating 234/2000... Pixel-wise accuracy: 80.61%
Evaluating 235/2000... Pixel-wise accuracy: 90.76%
Evaluating 236/2000... Pixel-wise accuracy: 72.98%
Evaluating 237/2000... Pixel-wise accuracy: 34.54%
Evaluating 238/2000... Pixel-wise accuracy: 67.30%
Evaluating 239/2000... Pixel-wise accuracy: 65.23%
Evaluating 240/2000... Pixel-wise accuracy: 71.30%
Evaluating 241/2000... Pixel-wise accuracy: 56.69%
Evaluating 242/2000... Pixel-wise accuracy: 64.80%
Evaluating 243/2000... Pixel-wise accuracy: 76.36%
Evaluating 244/2000... Pixel-wise accuracy: 74.22%
Evaluating 245/2000... Pixel-wise accuracy: 88.28%
Evaluating 246/2000... Pixel-wise accuracy: 70.23%
Evaluating 247/2000... Pixel-wise accuracy: 94.62%
Evaluating 248/2000... Pixel-wise accuracy: 92.65%
Evaluating 249/2000... Pixel-wise accuracy: 83.22%
Evaluating 250/2000... Pixel-wise accuracy: 64.46%
Evaluating 251/2000... Pixel-wise accuracy: 90.26%
Evaluating 252/2000... Pixel-wise accuracy: 82.93%
Evaluating 253/2000... Pixel-wise accuracy: 72.54%
Evaluating 254/2000... Pixel-wise accuracy: 83.82%
Evaluating 255/2000... Pixel-wise accuracy: 85.89%
Evaluating 256/2000... Pixel-wise accuracy: 89.53%
Evaluating 257/2000... Pixel-wise accuracy: 78.43%
Evaluating 258/2000... Pixel-wise accuracy: 94.11%
Evaluating 259/2000... Pixel-wise accuracy: 86.24%
Evaluating 260/2000... Pixel-wise accuracy: 89.99%
Evaluating 261/2000... Pixel-wise accuracy: 63.57%
Evaluating 262/2000... Pixel-wise accuracy: 75.55%
Evaluating 263/2000... Pixel-wise accuracy: 77.98%
Evaluating 264/2000... Pixel-wise accuracy: 76.92%
Evaluating 265/2000... Pixel-wise accuracy: 86.39%
Evaluating 266/2000... Pixel-wise accuracy: 94.25%
Evaluating 267/2000... Pixel-wise accuracy: 93.89%
Evaluating 268/2000... Pixel-wise accuracy: 82.82%
Evaluating 269/2000... Pixel-wise accuracy: 82.29%
Evaluating 270/2000... Pixel-wise accuracy: 71.39%
Evaluating 271/2000... Pixel-wise accuracy: 79.93%
Evaluating 272/2000... Pixel-wise accuracy: 90.37%
Evaluating 273/2000... Pixel-wise accuracy: 94.04%
Evaluating 274/2000... Pixel-wise accuracy: 96.36%
Evaluating 275/2000... Pixel-wise accuracy: 93.85%
Evaluating 276/2000... Pixel-wise accuracy: 87.13%
Evaluating 277/2000... Pixel-wise accuracy: 94.75%
Evaluating 278/2000... Pixel-wise accuracy: 79.07%
Evaluating 279/2000... Pixel-wise accuracy: 93.58%
Evaluating 280/2000... Pixel-wise accuracy: 74.85%
Evaluating 281/2000... Pixel-wise accuracy: 89.81%
Evaluating 282/2000... Pixel-wise accuracy: 87.66%
Evaluating 283/2000... Pixel-wise accuracy: 71.69%
Evaluating 284/2000... Pixel-wise accuracy: 70.00%
Evaluating 285/2000... Pixel-wise accuracy: 91.80%
Evaluating 286/2000... Pixel-wise accuracy: 90.07%
Evaluating 287/2000... Pixel-wise accuracy: 88.87%
Evaluating 288/2000... Pixel-wise accuracy: 65.44%
Evaluating 289/2000... Pixel-wise accuracy: 70.93%
Evaluating 290/2000... Pixel-wise accuracy: 88.92%
Evaluating 291/2000... Pixel-wise accuracy: 92.24%
Evaluating 292/2000... Pixel-wise accuracy: 72.83%
Evaluating 293/2000... Pixel-wise accuracy: 92.70%
Evaluating 294/2000... Pixel-wise accuracy: 94.49%
Evaluating 295/2000... Pixel-wise accuracy: 79.65%
Evaluating 296/2000... Pixel-wise accuracy: 79.79%
Evaluating 297/2000... Pixel-wise accuracy: 70.62%
Evaluating 298/2000... Pixel-wise accuracy: 82.71%
Evaluating 299/2000... Pixel-wise accuracy: 92.14%
Evaluating 300/2000... Pixel-wise accuracy: 90.11%
Evaluating 301/2000... Pixel-wise accuracy: 83.80%
Evaluating 302/2000... Pixel-wise accuracy: 82.88%
Evaluating 303/2000... Pixel-wise accuracy: 97.21%
Evaluating 304/2000... Pixel-wise accuracy: 59.23%
Evaluating 305/2000... Pixel-wise accuracy: 59.33%
Evaluating 306/2000... Pixel-wise accuracy: 77.85%
Evaluating 307/2000... Pixel-wise accuracy: 91.82%
Evaluating 308/2000... Pixel-wise accuracy: 95.07%
Evaluating 309/2000... Pixel-wise accuracy: 86.51%
Evaluating 310/2000... Pixel-wise accuracy: 78.06%
Evaluating 311/2000... Pixel-wise accuracy: 88.09%
Evaluating 312/2000... Pixel-wise accuracy: 93.58%
Evaluating 313/2000... Pixel-wise accuracy: 66.65%
Evaluating 314/2000... Pixel-wise accuracy: 93.41%
Evaluating 315/2000... Pixel-wise accuracy: 74.11%
Evaluating 316/2000... Pixel-wise accuracy: 89.67%
Evaluating 317/2000... Pixel-wise accuracy: 91.51%
Evaluating 318/2000... Pixel-wise accuracy: 72.82%
Evaluating 319/2000... Pixel-wise accuracy: 88.08%
Evaluating 320/2000... Pixel-wise accuracy: 61.54%
Evaluating 321/2000... Pixel-wise accuracy: 92.60%
Evaluating 322/2000... Pixel-wise accuracy: 82.45%
Evaluating 323/2000... Pixel-wise accuracy: 92.06%
Evaluating 324/2000... Pixel-wise accuracy: 95.43%
Evaluating 325/2000... Pixel-wise accuracy: 87.82%
Evaluating 326/2000... Pixel-wise accuracy: 88.55%
Evaluating 327/2000... Pixel-wise accuracy: 77.58%
Evaluating 328/2000... Pixel-wise accuracy: 76.68%
Evaluating 329/2000... Pixel-wise accuracy: 89.43%
Evaluating 330/2000... Pixel-wise accuracy: 65.77%
Evaluating 331/2000... Pixel-wise accuracy: 79.94%
Evaluating 332/2000... Pixel-wise accuracy: 86.25%
Evaluating 333/2000... Pixel-wise accuracy: 85.17%
Evaluating 334/2000... Pixel-wise accuracy: 80.71%
Evaluating 335/2000... Pixel-wise accuracy: 77.45%
Evaluating 336/2000... Pixel-wise accuracy: 52.67%
Evaluating 337/2000... Pixel-wise accuracy: 91.80%
Evaluating 338/2000... Pixel-wise accuracy: 65.82%
Evaluating 339/2000... Pixel-wise accuracy: 92.17%
Evaluating 340/2000... Pixel-wise accuracy: 95.73%
Evaluating 341/2000... Pixel-wise accuracy: 55.42%
Evaluating 342/2000... Pixel-wise accuracy: 92.87%
Evaluating 343/2000... Pixel-wise accuracy: 64.61%
Evaluating 344/2000... Pixel-wise accuracy: 81.47%
Evaluating 345/2000... Pixel-wise accuracy: 76.57%
Evaluating 346/2000... Pixel-wise accuracy: 49.47%
Evaluating 347/2000... Pixel-wise accuracy: 52.23%
